"Watershed_designation","Fire_treatment","Year","Plot_number","Transect_number","Grass_cover","Shrub_cover","richness","shannon"
"1a","annual_to_infrequent_reversal",1997,5,1,95,0,1,0
"1a","annual_to_infrequent_reversal",1997,6,2,112.5,0,1,0
"1a","annual_to_infrequent_reversal",1997,7,2,95,0,1,0
"1a","annual_to_infrequent_reversal",1997,8,2,83.5,0,1,0
"1a","annual_to_infrequent_reversal",1997,9,2,80,0,1,0
"1a","annual_to_infrequent_reversal",1997,10,2,92.5,0,1,0
"1a","annual_to_infrequent_reversal",1997,11,3,83.5,0,1,0
"1a","annual_to_infrequent_reversal",1997,12,3,68.5,0,1,0
"1a","annual_to_infrequent_reversal",1997,13,3,98.5,0,1,0
"1a","annual_to_infrequent_reversal",1997,14,3,84.5,0,1,0
"1a","annual_to_infrequent_reversal",1997,15,3,81,0,1,0
"1a","annual_to_infrequent_reversal",1997,16,4,78,0,1,0
"1a","annual_to_infrequent_reversal",1997,17,4,84.5,0,1,0
"1a","annual_to_infrequent_reversal",1997,18,4,110,0,1,0
"1a","annual_to_infrequent_reversal",1997,19,4,84.5,0,1,0
"1a","annual_to_infrequent_reversal",1997,20,4,66,0,1,0
"1a","annual_to_infrequent_reversal",1998,1,1,80,0,1,0
"1a","annual_to_infrequent_reversal",1998,2,1,113.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,3,1,92.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,4,1,77.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,5,1,95,0,1,0
"1a","annual_to_infrequent_reversal",1998,6,2,112.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,7,2,95,0,1,0
"1a","annual_to_infrequent_reversal",1998,8,2,83.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,9,2,80,0,1,0
"1a","annual_to_infrequent_reversal",1998,10,2,92.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,11,3,83.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,12,3,68.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,13,3,98.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,14,3,84.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,15,3,81,0,1,0
"1a","annual_to_infrequent_reversal",1998,16,4,78,0,1,0
"1a","annual_to_infrequent_reversal",1998,17,4,84.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,18,4,110,0,1,0
"1a","annual_to_infrequent_reversal",1998,19,4,84.5,0,1,0
"1a","annual_to_infrequent_reversal",1998,20,4,66,0,1,0
"1a","annual_to_infrequent_reversal",1999,1,1,80,0,1,0
"1a","annual_to_infrequent_reversal",1999,2,1,113.5,0,1,0
"1a","annual_to_infrequent_reversal",1999,3,1,92.5,0,1,0
"1a","annual_to_infrequent_reversal",1999,4,1,95,0,1,0
"1a","annual_to_infrequent_reversal",1999,5,1,95,0,1,0
"1a","annual_to_infrequent_reversal",1999,6,2,112.5,0,1,0
"1a","annual_to_infrequent_reversal",1999,7,2,95,0,1,0
"1a","annual_to_infrequent_reversal",1999,8,2,83.5,0,1,0
"1a","annual_to_infrequent_reversal",1999,9,2,80,0,1,0
"1a","annual_to_infrequent_reversal",1999,10,2,92.5,0,1,0
"1a","annual_to_infrequent_reversal",1999,11,3,83.5,0,1,0
"1a","annual_to_infrequent_reversal",1999,12,3,68.5,0,1,0
"1a","annual_to_infrequent_reversal",1999,13,3,98.5,0,1,0
"1a","annual_to_infrequent_reversal",1999,14,3,84.5,0,1,0
"1a","annual_to_infrequent_reversal",1999,15,3,78,0,1,0
"1a","annual_to_infrequent_reversal",1999,16,4,78,0,1,0
"1a","annual_to_infrequent_reversal",1999,17,4,84.5,0,1,0
"1a","annual_to_infrequent_reversal",1999,18,4,110,0,1,0
"1a","annual_to_infrequent_reversal",1999,19,4,84.5,0,1,0
"1a","annual_to_infrequent_reversal",1999,20,4,66,0,1,0
"1c","annual_to_infrequent_reversal",1984,1,1,127.5,0,1,0
"1c","annual_to_infrequent_reversal",1984,2,1,131,0,1,0
"1c","annual_to_infrequent_reversal",1984,3,1,136,0,1,0
"1c","annual_to_infrequent_reversal",1984,4,1,166,0,1,0
"1c","annual_to_infrequent_reversal",1984,5,1,192.5,0,1,0
"1c","annual_to_infrequent_reversal",1984,6,2,145,0,1,0
"1c","annual_to_infrequent_reversal",1984,7,2,162.5,0,1,0
"1c","annual_to_infrequent_reversal",1984,8,2,175,0,1,0
"1c","annual_to_infrequent_reversal",1984,9,2,162.5,0,1,0
"1c","annual_to_infrequent_reversal",1984,10,2,145,0,1,0
"1c","annual_to_infrequent_reversal",1984,11,3,127.5,0,1,0
"1c","annual_to_infrequent_reversal",1984,12,3,145,0,1,0
"1c","annual_to_infrequent_reversal",1984,13,3,148.5,0,1,0
"1c","annual_to_infrequent_reversal",1984,14,3,175,0,1,0
"1c","annual_to_infrequent_reversal",1984,15,3,145,0,1,0
"1c","annual_to_infrequent_reversal",1984,16,4,145.5,0,1,0
"1c","annual_to_infrequent_reversal",1984,17,4,192.5,0,1,0
"1c","annual_to_infrequent_reversal",1984,18,4,196,0,1,0
"1c","annual_to_infrequent_reversal",1984,19,4,188.5,0,1,0
"1c","annual_to_infrequent_reversal",1984,20,4,145.5,0,1,0
"1c","annual_to_infrequent_reversal",1985,1,1,192.5,0,1,0
"1c","annual_to_infrequent_reversal",1985,2,1,247.5,0,1,0
"1c","annual_to_infrequent_reversal",1985,3,1,177.5,0,1,0
"1c","annual_to_infrequent_reversal",1985,4,1,217.5,0,1,0
"1c","annual_to_infrequent_reversal",1985,5,1,185,0,1,0
"1c","annual_to_infrequent_reversal",1985,6,2,133.5,0,1,0
"1c","annual_to_infrequent_reversal",1985,7,2,175,0,1,0
"1c","annual_to_infrequent_reversal",1985,8,2,163.5,0,1,0
"1c","annual_to_infrequent_reversal",1985,9,2,197.5,0,1,0
"1c","annual_to_infrequent_reversal",1985,10,2,145,0,1,0
"1c","annual_to_infrequent_reversal",1985,11,3,145,0,1,0
"1c","annual_to_infrequent_reversal",1985,12,3,145,0,1,0
"1c","annual_to_infrequent_reversal",1985,13,3,160,0,1,0
"1c","annual_to_infrequent_reversal",1985,14,3,127.5,0,1,0
"1c","annual_to_infrequent_reversal",1985,15,3,145,0,1,0
"1c","annual_to_infrequent_reversal",1985,16,4,192.5,0,1,0
"1c","annual_to_infrequent_reversal",1985,17,4,175,0,1,0
"1c","annual_to_infrequent_reversal",1985,18,4,162.5,0,1,0
"1c","annual_to_infrequent_reversal",1985,19,4,160,0,1,0
"1c","annual_to_infrequent_reversal",1985,20,4,133.5,0,1,0
"1c","annual_to_infrequent_reversal",1986,1,1,175.5,0,1,0
"1c","annual_to_infrequent_reversal",1986,2,1,190,0,1,0
"1c","annual_to_infrequent_reversal",1986,3,1,165,0,1,0
"1c","annual_to_infrequent_reversal",1986,4,1,166,0,1,0
"1c","annual_to_infrequent_reversal",1986,5,1,175,0,1,0
"1c","annual_to_infrequent_reversal",1986,6,2,197.5,0,1,0
"1c","annual_to_infrequent_reversal",1986,7,2,185,0,1,0
"1c","annual_to_infrequent_reversal",1986,8,2,162.5,0,1,0
"1c","annual_to_infrequent_reversal",1986,9,2,185,0,1,0
"1c","annual_to_infrequent_reversal",1986,10,2,157.5,0,1,0
"1c","annual_to_infrequent_reversal",1986,11,3,130,0,1,0
"1c","annual_to_infrequent_reversal",1986,12,3,130.5,0,1,0
"1c","annual_to_infrequent_reversal",1986,13,3,148.5,0,1,0
"1c","annual_to_infrequent_reversal",1986,14,3,192.5,0,1,0
"1c","annual_to_infrequent_reversal",1986,15,3,145,0,1,0
"1c","annual_to_infrequent_reversal",1986,16,4,193,0,1,0
"1c","annual_to_infrequent_reversal",1986,17,4,132.5,0,1,0
"1c","annual_to_infrequent_reversal",1986,18,4,132.5,0,1,0
"1c","annual_to_infrequent_reversal",1986,19,4,133.5,0,1,0
"1c","annual_to_infrequent_reversal",1986,20,4,160,0,1,0
"1c","annual_to_infrequent_reversal",1987,1,1,145,0,1,0
"1c","annual_to_infrequent_reversal",1987,2,1,147.5,0,1,0
"1c","annual_to_infrequent_reversal",1987,3,1,147.5,0,1,0
"1c","annual_to_infrequent_reversal",1987,4,1,118.5,0,1,0
"1c","annual_to_infrequent_reversal",1987,5,1,145,0,1,0
"1c","annual_to_infrequent_reversal",1987,6,2,145,0,1,0
"1c","annual_to_infrequent_reversal",1987,7,2,180,0,1,0
"1c","annual_to_infrequent_reversal",1987,8,2,162.5,0,1,0
"1c","annual_to_infrequent_reversal",1987,9,2,115,0,1,0
"1c","annual_to_infrequent_reversal",1987,10,2,132.5,0,1,0
"1c","annual_to_infrequent_reversal",1987,11,3,116,0,1,0
"1c","annual_to_infrequent_reversal",1987,12,3,127.5,0,1,0
"1c","annual_to_infrequent_reversal",1987,13,3,175.5,0,1,0
"1c","annual_to_infrequent_reversal",1987,14,3,175,0,1,0
"1c","annual_to_infrequent_reversal",1987,15,3,132.5,0,1,0
"1c","annual_to_infrequent_reversal",1987,16,4,133,0,1,0
"1c","annual_to_infrequent_reversal",1987,17,4,132.5,0,1,0
"1c","annual_to_infrequent_reversal",1987,18,4,132.5,0,1,0
"1c","annual_to_infrequent_reversal",1987,19,4,102,0,1,0
"1c","annual_to_infrequent_reversal",1987,20,4,103.5,0,1,0
"1c","annual_to_infrequent_reversal",1988,1,1,92,0,1,0
"1c","annual_to_infrequent_reversal",1988,2,1,104,0,1,0
"1c","annual_to_infrequent_reversal",1988,3,1,99,0,1,0
"1c","annual_to_infrequent_reversal",1988,4,1,81,0,1,0
"1c","annual_to_infrequent_reversal",1988,5,1,62.5,0,1,0
"1c","annual_to_infrequent_reversal",1988,6,2,92,0,1,0
"1c","annual_to_infrequent_reversal",1988,7,2,103.5,0,1,0
"1c","annual_to_infrequent_reversal",1988,8,2,118,0,1,0
"1c","annual_to_infrequent_reversal",1988,9,2,104,0,1,0
"1c","annual_to_infrequent_reversal",1988,10,2,81,0,1,0
"1c","annual_to_infrequent_reversal",1988,11,3,104.5,0,1,0
"1c","annual_to_infrequent_reversal",1988,12,3,95.5,0,1,0
"1c","annual_to_infrequent_reversal",1988,13,3,118.5,0,1,0
"1c","annual_to_infrequent_reversal",1988,14,3,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1988,15,3,104.5,0,1,0
"1c","annual_to_infrequent_reversal",1988,16,4,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1988,17,4,81.5,0,1,0
"1c","annual_to_infrequent_reversal",1988,18,4,104,0,1,0
"1c","annual_to_infrequent_reversal",1988,19,4,102,0,1,0
"1c","annual_to_infrequent_reversal",1988,20,4,104,0,1,0
"1c","annual_to_infrequent_reversal",1989,1,1,92,0,1,0
"1c","annual_to_infrequent_reversal",1989,2,1,104,0,1,0
"1c","annual_to_infrequent_reversal",1989,3,1,99,0,1,0
"1c","annual_to_infrequent_reversal",1989,4,1,81,0,1,0
"1c","annual_to_infrequent_reversal",1989,5,1,62.5,0,1,0
"1c","annual_to_infrequent_reversal",1989,6,2,92,0,1,0
"1c","annual_to_infrequent_reversal",1989,7,2,103.5,0,1,0
"1c","annual_to_infrequent_reversal",1989,8,2,118,0,1,0
"1c","annual_to_infrequent_reversal",1989,9,2,104,0,1,0
"1c","annual_to_infrequent_reversal",1989,10,2,81,0,1,0
"1c","annual_to_infrequent_reversal",1989,11,3,104.5,0,1,0
"1c","annual_to_infrequent_reversal",1989,12,3,95.5,0,1,0
"1c","annual_to_infrequent_reversal",1989,13,3,118.5,0,1,0
"1c","annual_to_infrequent_reversal",1989,14,3,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1989,15,3,104.5,0,1,0
"1c","annual_to_infrequent_reversal",1989,16,4,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1989,17,4,81.5,0,1,0
"1c","annual_to_infrequent_reversal",1989,18,4,104,0,1,0
"1c","annual_to_infrequent_reversal",1989,19,4,102,0,1,0
"1c","annual_to_infrequent_reversal",1989,20,4,104,0,1,0
"1c","annual_to_infrequent_reversal",1990,1,1,98.5,0,1,0
"1c","annual_to_infrequent_reversal",1990,2,1,102,0,1,0
"1c","annual_to_infrequent_reversal",1990,3,1,84.5,0,1,0
"1c","annual_to_infrequent_reversal",1990,4,1,107,0,1,0
"1c","annual_to_infrequent_reversal",1990,5,1,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1990,6,2,103.5,0,1,0
"1c","annual_to_infrequent_reversal",1990,7,2,103.5,0,1,0
"1c","annual_to_infrequent_reversal",1990,8,2,110,0,1,0
"1c","annual_to_infrequent_reversal",1990,9,2,110.5,0,1,0
"1c","annual_to_infrequent_reversal",1990,10,2,103.5,0,1,0
"1c","annual_to_infrequent_reversal",1990,11,3,125.5,0,1,0
"1c","annual_to_infrequent_reversal",1990,12,3,80,0,1,0
"1c","annual_to_infrequent_reversal",1990,13,3,121.5,0,1,0
"1c","annual_to_infrequent_reversal",1990,14,3,62.5,0,1,0
"1c","annual_to_infrequent_reversal",1990,15,3,81,0,1,0
"1c","annual_to_infrequent_reversal",1990,16,4,115,0,1,0
"1c","annual_to_infrequent_reversal",1990,17,4,81,0,1,0
"1c","annual_to_infrequent_reversal",1990,18,4,104,0,1,0
"1c","annual_to_infrequent_reversal",1990,19,4,118.5,0,1,0
"1c","annual_to_infrequent_reversal",1990,20,4,99,0,1,0
"1c","annual_to_infrequent_reversal",1993,1,1,80,0,1,0
"1c","annual_to_infrequent_reversal",1993,2,1,112.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,3,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1993,4,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1993,5,1,62.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,6,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,7,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,8,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,9,2,96,0,1,0
"1c","annual_to_infrequent_reversal",1993,10,2,110,0,1,0
"1c","annual_to_infrequent_reversal",1993,11,3,100,0,1,0
"1c","annual_to_infrequent_reversal",1993,12,3,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,13,3,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,14,3,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,15,3,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,16,4,83.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,17,4,80,0,1,0
"1c","annual_to_infrequent_reversal",1993,18,4,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,19,4,107.5,0,1,0
"1c","annual_to_infrequent_reversal",1993,20,4,96,0,1,0
"1c","annual_to_infrequent_reversal",1994,1,1,80,0,1,0
"1c","annual_to_infrequent_reversal",1994,2,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1994,3,1,112.5,0,1,0
"1c","annual_to_infrequent_reversal",1994,4,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1994,5,1,80,0,1,0
"1c","annual_to_infrequent_reversal",1994,6,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1994,7,2,80,0,1,0
"1c","annual_to_infrequent_reversal",1994,8,2,80,0,1,0
"1c","annual_to_infrequent_reversal",1994,9,2,83.5,0,1,0
"1c","annual_to_infrequent_reversal",1994,10,2,97.5,0,1,0
"1c","annual_to_infrequent_reversal",1994,11,3,100,0,1,0
"1c","annual_to_infrequent_reversal",1994,12,3,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1994,13,3,107.5,0,1,0
"1c","annual_to_infrequent_reversal",1994,14,3,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1994,15,3,110,0,1,0
"1c","annual_to_infrequent_reversal",1994,16,4,96,0,1,0
"1c","annual_to_infrequent_reversal",1994,17,4,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1994,18,4,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1994,19,4,107.5,0,1,0
"1c","annual_to_infrequent_reversal",1994,20,4,96,0,1,0
"1c","annual_to_infrequent_reversal",1995,1,1,110,0,1,0
"1c","annual_to_infrequent_reversal",1995,2,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1995,3,1,142.5,0,1,0
"1c","annual_to_infrequent_reversal",1995,4,1,125,0,1,0
"1c","annual_to_infrequent_reversal",1995,5,1,80,0,1,0
"1c","annual_to_infrequent_reversal",1995,6,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1995,7,2,80,0,1,0
"1c","annual_to_infrequent_reversal",1995,8,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1995,9,2,96,0,1,0
"1c","annual_to_infrequent_reversal",1995,10,2,110,0,1,0
"1c","annual_to_infrequent_reversal",1995,11,3,100.5,0,1,0
"1c","annual_to_infrequent_reversal",1995,12,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1995,13,3,125,0,1,0
"1c","annual_to_infrequent_reversal",1995,14,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1995,15,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1995,16,4,93,0,1,0
"1c","annual_to_infrequent_reversal",1995,17,4,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1995,18,4,96,0,1,0
"1c","annual_to_infrequent_reversal",1995,19,4,107.5,0,1,0
"1c","annual_to_infrequent_reversal",1995,20,4,96,0,1,0
"1c","annual_to_infrequent_reversal",1996,1,1,110,0,1,0
"1c","annual_to_infrequent_reversal",1996,2,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1996,3,1,112.5,0,1,0
"1c","annual_to_infrequent_reversal",1996,4,1,112.5,0,1,0
"1c","annual_to_infrequent_reversal",1996,5,1,110,0,1,0
"1c","annual_to_infrequent_reversal",1996,6,2,104,0,1,0
"1c","annual_to_infrequent_reversal",1996,7,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1996,8,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1996,9,2,96,0,1,0
"1c","annual_to_infrequent_reversal",1996,10,2,110,0,1,0
"1c","annual_to_infrequent_reversal",1996,11,3,100.5,0,1,0
"1c","annual_to_infrequent_reversal",1996,12,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1996,13,3,95,0,1,0
"1c","annual_to_infrequent_reversal",1996,14,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1996,15,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1996,16,4,110.5,0,1,0
"1c","annual_to_infrequent_reversal",1996,17,4,110,0,1,0
"1c","annual_to_infrequent_reversal",1996,18,4,93,0,1,0
"1c","annual_to_infrequent_reversal",1996,19,4,107.5,0,1,0
"1c","annual_to_infrequent_reversal",1996,20,4,96,0,1,0
"1c","annual_to_infrequent_reversal",1997,1,1,110,0,1,0
"1c","annual_to_infrequent_reversal",1997,2,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1997,3,1,112.5,0,1,0
"1c","annual_to_infrequent_reversal",1997,4,1,112.5,0,1,0
"1c","annual_to_infrequent_reversal",1997,5,1,110,0,1,0
"1c","annual_to_infrequent_reversal",1997,6,2,104,0,1,0
"1c","annual_to_infrequent_reversal",1997,7,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1997,8,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1997,9,2,96,0,1,0
"1c","annual_to_infrequent_reversal",1997,10,2,110,0,1,0
"1c","annual_to_infrequent_reversal",1997,11,3,100.5,0,1,0
"1c","annual_to_infrequent_reversal",1997,12,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1997,13,3,95,0,1,0
"1c","annual_to_infrequent_reversal",1997,14,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1997,15,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1997,16,4,63,0,1,0
"1c","annual_to_infrequent_reversal",1997,17,4,110,0,1,0
"1c","annual_to_infrequent_reversal",1997,18,4,93,0,1,0
"1c","annual_to_infrequent_reversal",1997,19,4,107.5,0,1,0
"1c","annual_to_infrequent_reversal",1997,20,4,96,0,1,0
"1c","annual_to_infrequent_reversal",1998,1,1,110,0,1,0
"1c","annual_to_infrequent_reversal",1998,2,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1998,3,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1998,4,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1998,5,1,110,0,1,0
"1c","annual_to_infrequent_reversal",1998,6,2,104,0,1,0
"1c","annual_to_infrequent_reversal",1998,7,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1998,8,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1998,9,2,96,0,1,0
"1c","annual_to_infrequent_reversal",1998,10,2,110,0,1,0
"1c","annual_to_infrequent_reversal",1998,11,3,100.5,0,1,0
"1c","annual_to_infrequent_reversal",1998,12,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1998,13,3,95,0,1,0
"1c","annual_to_infrequent_reversal",1998,14,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1998,15,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1998,16,4,110.5,0,1,0
"1c","annual_to_infrequent_reversal",1998,17,4,110,0,1,0
"1c","annual_to_infrequent_reversal",1998,18,4,93,0,1,0
"1c","annual_to_infrequent_reversal",1998,19,4,107.5,0,1,0
"1c","annual_to_infrequent_reversal",1998,20,4,96,0,1,0
"1c","annual_to_infrequent_reversal",1999,1,1,110,0,1,0
"1c","annual_to_infrequent_reversal",1999,2,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1999,3,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1999,4,1,95,0,1,0
"1c","annual_to_infrequent_reversal",1999,5,1,110,0,1,0
"1c","annual_to_infrequent_reversal",1999,6,2,104,0,1,0
"1c","annual_to_infrequent_reversal",1999,7,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1999,8,2,92.5,0,1,0
"1c","annual_to_infrequent_reversal",1999,9,2,96,0,1,0
"1c","annual_to_infrequent_reversal",1999,10,2,110,0,1,0
"1c","annual_to_infrequent_reversal",1999,11,3,100.5,0,1,0
"1c","annual_to_infrequent_reversal",1999,12,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1999,13,3,95,0,1,0
"1c","annual_to_infrequent_reversal",1999,14,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1999,15,3,115,0,1,0
"1c","annual_to_infrequent_reversal",1999,16,4,110.5,0,1,0
"1c","annual_to_infrequent_reversal",1999,17,4,110,0,1,0
"1c","annual_to_infrequent_reversal",1999,18,4,93,0,1,0
"1c","annual_to_infrequent_reversal",1999,19,4,107.5,0,1,0
"1c","annual_to_infrequent_reversal",1999,20,4,96,0,1,0
"r20a","annual_to_infrequent_reversal",2000,1,1,80,0,1,0
"r20a","annual_to_infrequent_reversal",2000,2,1,131,0,1,0
"r20a","annual_to_infrequent_reversal",2000,3,1,92.5,0,1,0
"r20a","annual_to_infrequent_reversal",2000,4,1,125,0,1,0
"r20a","annual_to_infrequent_reversal",2000,5,1,112.5,0,1,0
"r20a","annual_to_infrequent_reversal",2000,6,2,112.5,0,1,0
"r20a","annual_to_infrequent_reversal",2000,7,2,95,0,1,0
"r20a","annual_to_infrequent_reversal",2000,8,2,83.5,0,1,0
"r20a","annual_to_infrequent_reversal",2000,9,2,110,0,1,0
"r20a","annual_to_infrequent_reversal",2000,10,2,110,0,1,0
"r20a","annual_to_infrequent_reversal",2000,11,3,83.5,0,1,0
"r20a","annual_to_infrequent_reversal",2000,12,3,98.5,0,1,0
"r20a","annual_to_infrequent_reversal",2000,13,3,103.5,0,1,0
"r20a","annual_to_infrequent_reversal",2000,14,3,107,0,1,0
"r20a","annual_to_infrequent_reversal",2000,15,3,100.5,0,1,0
"r20a","annual_to_infrequent_reversal",2000,16,4,100.5,0,1,0
"r20a","annual_to_infrequent_reversal",2000,17,4,107,0,1,0
"r20a","annual_to_infrequent_reversal",2000,18,4,110,0,1,0
"r20a","annual_to_infrequent_reversal",2000,19,4,107,0,1,0
"r20a","annual_to_infrequent_reversal",2000,20,4,96,0,1,0
"r20a","annual_to_infrequent_reversal",2001,1,1,80,0,1,0
"r20a","annual_to_infrequent_reversal",2001,2,1,131,0,1,0
"r20a","annual_to_infrequent_reversal",2001,3,1,92.5,0,1,0
"r20a","annual_to_infrequent_reversal",2001,4,1,125,0,1,0
"r20a","annual_to_infrequent_reversal",2001,5,1,112.5,0,1,0
"r20a","annual_to_infrequent_reversal",2001,6,2,112.5,0,1,0
"r20a","annual_to_infrequent_reversal",2001,7,2,95,0,1,0
"r20a","annual_to_infrequent_reversal",2001,8,2,83.5,0,1,0
"r20a","annual_to_infrequent_reversal",2001,9,2,110,0,1,0
"r20a","annual_to_infrequent_reversal",2001,10,2,110,0,1,0
"r20a","annual_to_infrequent_reversal",2001,11,3,83.5,0,1,0
"r20a","annual_to_infrequent_reversal",2001,12,3,98.5,0,1,0
"r20a","annual_to_infrequent_reversal",2001,13,3,103.5,0,1,0
"r20a","annual_to_infrequent_reversal",2001,14,3,107,0,1,0
"r20a","annual_to_infrequent_reversal",2001,15,3,100.5,0,1,0
"r20a","annual_to_infrequent_reversal",2001,16,4,100.5,0,1,0
"r20a","annual_to_infrequent_reversal",2001,17,4,107,0,1,0
"r20a","annual_to_infrequent_reversal",2001,18,4,110,0,1,0
"r20a","annual_to_infrequent_reversal",2001,19,4,107,0,1,0
"r20a","annual_to_infrequent_reversal",2001,20,4,96,0,1,0
"r20a","annual_to_infrequent_reversal",2002,1,1,80,0,1,0
"r20a","annual_to_infrequent_reversal",2002,2,1,131,0,1,0
"r20a","annual_to_infrequent_reversal",2002,3,1,92.5,0,1,0
"r20a","annual_to_infrequent_reversal",2002,4,1,95,0,1,0
"r20a","annual_to_infrequent_reversal",2002,5,1,112.5,0,1,0
"r20a","annual_to_infrequent_reversal",2002,6,2,125,0,1,0
"r20a","annual_to_infrequent_reversal",2002,7,2,95,0,1,0
"r20a","annual_to_infrequent_reversal",2002,8,2,83.5,0,1,0
"r20a","annual_to_infrequent_reversal",2002,9,2,110,0,1,0
"r20a","annual_to_infrequent_reversal",2002,10,2,110,0,1,0
"r20a","annual_to_infrequent_reversal",2002,11,3,83.5,0,1,0
"r20a","annual_to_infrequent_reversal",2002,12,3,98.5,0,1,0
"r20a","annual_to_infrequent_reversal",2002,13,3,103.5,0,1,0
"r20a","annual_to_infrequent_reversal",2002,14,3,107,0,1,0
"r20a","annual_to_infrequent_reversal",2002,15,3,103.5,0,1,0
"r20a","annual_to_infrequent_reversal",2002,16,4,89,0,1,0
"r20a","annual_to_infrequent_reversal",2002,17,4,107,0,1,0
"r20a","annual_to_infrequent_reversal",2002,18,4,110,0,1,0
"r20a","annual_to_infrequent_reversal",2002,19,4,107,0,1,0
"r20a","annual_to_infrequent_reversal",2002,20,4,96,0,1,0
"r20a","annual_to_infrequent_reversal",2003,1,1,96,0,1,0
"r20a","annual_to_infrequent_reversal",2003,2,1,107,0,1,0
"r20a","annual_to_infrequent_reversal",2003,3,1,80,0,1,0
"r20a","annual_to_infrequent_reversal",2003,4,1,107,0,1,0
"r20a","annual_to_infrequent_reversal",2003,5,1,89,0,1,0
"r20a","annual_to_infrequent_reversal",2003,6,2,103.5,0,1,0
"r20a","annual_to_infrequent_reversal",2003,7,2,107,0,1,0
"r20a","annual_to_infrequent_reversal",2003,8,2,103.5,0,1,0
"r20a","annual_to_infrequent_reversal",2003,9,2,98.5,0,1,0
"r20a","annual_to_infrequent_reversal",2003,10,2,83.5,0,1,0
"r20a","annual_to_infrequent_reversal",2003,11,3,110,0,1,0
"r20a","annual_to_infrequent_reversal",2003,12,3,110,0,1,0
"r20a","annual_to_infrequent_reversal",2003,13,3,83.5,0,1,0
